,LONGITUDE,LATITUDE,imo,Duration,Cluster
1,-8.328125,51.84375,9687100,111,0
15,-5.75390625,57.28125,9579468,85,1
16,-5.75390625,57.28125,9579468,98,1
17,-5.75390625,57.28125,9579468,65,1
18,-2.08203125,57.15625,9214173,38,2
19,-2.08203125,57.15625,9214173,12,2
20,-2.08203125,57.15625,9214173,26,2
22,-2.08203125,57.15625,9214173,61,2
57,-3.00390625,53.4375,9782986,60,3
63,-5.90234375,54.625,9195743,69,4
65,-1.0947265625,50.8125,9195743,56,5
81,-3.0234375,53.46875,9866249,51,6
82,-3.0234375,53.46875,9866249,42,6
89,-3.01953125,53.46875,9866249,91,7
94,-1.1533203125,54.59375,9866249,15,8
97,-3.01953125,53.46875,9866249,31,7
100,-3.0234375,53.46875,9866249,37,6
103,-3.01953125,53.46875,9866249,26,7
111,-2.720703125,51.5,9866249,27,9
116,-2.720703125,51.5,9866249,38,9
120,-3.0234375,53.46875,9866249,31,6
122,-2.720703125,51.5,9866249,22,9
126,-2.720703125,51.5,9866249,35,9
137,-5.91015625,54.625,8903090,29,10
141,-6.19921875,53.34375,8903090,26,11
166,-2.71484375,51.5,9361811,42,12
167,-2.71484375,51.5,9361811,41,12
168,-2.716796875,51.5,9361811,38,13
172,-2.716796875,51.5,9361811,31,13
173,0.73974609375,51.4375,9361811,9,14
174,-2.716796875,51.5,9361811,23,13
175,-2.716796875,51.5,9361811,28,13
176,-2.71484375,51.5,9361811,27,12
178,-2.71484375,51.5,9361811,37,12
181,-2.71484375,51.5,9361811,36,12
182,-0.1988525390625,53.625,9323089,12,15
185,-0.1988525390625,53.625,9323089,27,15
192,-0.1988525390625,53.625,9323089,12,15
243,-1.326171875,50.84375,9438860,47,16
248,-1.326171875,50.84375,9438860,42,16
251,-1.326171875,50.84375,9438860,35,16
287,-1.326171875,50.84375,9438860,40,16
293,0.7431640625,51.4375,8918435,143,17
321,-1.787109375,57.5,9226164,17,18
328,-2.083984375,57.15625,9226164,15,19
333,-2.083984375,57.15625,9226164,12,19
335,-1.498046875,55.125,9226164,20,20
337,-2.083984375,57.15625,9226164,12,19
339,-2.083984375,57.15625,9226164,9,19
342,-1.498046875,55.125,9226164,9,20
362,1.01171875,49.375,9548304,29,21
367,1.01171875,49.375,9548304,40,21
372,1.0234375,49.4375,9760419,125,22
374,1.0234375,49.4375,9760419,68,22
375,-7.03515625,52.25,9760419,108,23
395,-1.330078125,50.84375,9752010,41,24
396,-2.083984375,57.15625,9333644,54,19
398,-2.083984375,57.15625,9333644,29,19
399,-2.083984375,57.15625,9333644,18,19
401,-2.083984375,57.15625,9333644,12,19
403,-2.083984375,57.15625,9333644,17,19
404,-2.083984375,57.15625,9333644,20,19
405,-2.083984375,57.15625,9333644,18,19
406,-2.083984375,57.15625,9333644,19,19
407,-2.083984375,57.15625,9333644,21,19
408,-2.083984375,57.15625,9333644,19,19
409,-2.083984375,57.15625,9333644,39,19
410,-2.083984375,57.15625,9333644,17,19
411,-2.083984375,57.15625,9333644,20,19
412,-2.71484375,51.5,9409326,45,12
415,-0.168212890625,53.625,9449223,14,25
424,-0.1680908203125,53.625,9449223,22,26
427,-0.1680908203125,53.625,9449223,20,26
431,-0.168212890625,53.625,9449223,37,25
433,-0.16796875,53.625,9449223,14,27
436,-0.1680908203125,53.625,9449223,16,26
440,-0.168212890625,53.625,9449223,24,25
442,-0.168212890625,53.625,9449223,21,25
449,-0.1680908203125,53.625,9449223,14,26
452,-0.1680908203125,53.625,9449223,37,26
454,-0.168212890625,53.625,9449223,21,25
459,-0.168212890625,53.625,9449223,14,25
462,-0.168212890625,53.625,9449223,13,25
468,-0.168212890625,53.625,9449223,15,25
476,-0.168212890625,53.625,9449223,20,25
479,-0.168212890625,53.625,9449223,15,25
480,-1.498046875,55.125,9449223,6,20
