LONGITUDE,LATITUDE,PORT_NAME,PORT_CODE,CNTR_CODE3,SIZE,geometry,Master
-84.27348346663997,45.981767466692,CHEBOYGAN,CHE,USA,,POINT (-84.27348346663997 45.981767466692),
-83.87905976189046,45.98407753967143,THESSALON,THE,USA,2.0,POINT (-83.87905976189046 45.98407753967143),
-149.85768745096075,-17.49603313725686,PAPETOAI,PAP,PYF,30.0,POINT (-149.8576874509608 -17.49603313725686),
107.92650833325,-6.207538888887501,PAMANUKAN,PAM,IDN,40.0,POINT (107.92650833325 -6.207538888887501),
104.92018785968324,-2.324112331408311,SUNGSANG,SUN,IDN,12.0,POINT (104.9201878596832 -2.324112331408311),
30.67347494567675,41.12276065591995,KARASU,KAR_1,TUR,13.0,POINT (30.67347494567675 41.12276065591995),
116.0344433081466,-4.028010433963229,LONTAR,LON,IDN,66.0,POINT (116.0344433081466 -4.028010433963229),
-96.12896359647368,15.752222105268416,CRUCECITA,CRU,MEX,,POINT (-96.12896359647368 15.75222210526842),
122.16870610436108,-2.793960930380889,UNAAHA,UNA,IDN,280.0,POINT (122.1687061043611 -2.793960930380889),UNAAHA
-60.75065653845385,8.606562948717691,CURIAPO,CUR,VEN,8.0,POINT (-60.75065653845385 8.606562948717691),
49.19954483481667,27.55686145478603,AS SAFFANIYAH,AS,SAU,130.0,POINT (49.19954483481667 27.55686145478603),
111.37337401522728,-8.26608462121091,SUKOREJO,SUK,IDN,68.0,POINT (111.3733740152273 -8.26608462121091),
121.27269417897536,39.504088133301785,JINZHOU,JIN,CHN,71.0,POINT (121.2726941789754 39.50408813330179),
122.44767325627444,30.42291368457669,QUSHAN,QUS,CHN,269.0,POINT (122.4476732562744 30.42291368457669),
122.20364959303066,29.726689186370727,XIAZHI,XIA,CHN,32.0,POINT (122.2036495930307 29.72668918637073),
122.41345929409954,30.66990209980296,CAIYUAN,CAI,CHN,34.0,POINT (122.4134592940995 30.66990209980296),
122.25391047009614,30.263401501063463,CHANGTU,CHA,CHN,105.0,POINT (122.2539104700961 30.26340150106346),
122.12690410633446,29.757407488973968,LIUHENG,LIU,CHN,610.0,POINT (122.1269041063345 29.75740748897397),
121.10476543809102,28.15952908893786,NANYUE,NAN,CHN,27.0,POINT (121.104765438091 28.15952908893786),
121.51020550726088,29.496136594204344,XIASHAN,XIA_1,CHN,107.0,POINT (121.5102055072609 29.49613659420434),
72.09336322759067,71.28165090179348,MYS-KAMENNYY,MYS,RUS,219.0,POINT (72.09336322759067 71.28165090179348),
113.19971930881816,21.95190428962379,NANSHUI,NAN_1,CHN,118.0,POINT (113.1997193088182 21.95190428962379),
118.47566409428188,38.94293094213163,DASHENTANG,DAS,CHN,85.0,POINT (118.4756640942819 38.94293094213163),
113.22036173963282,21.90147576895989,NANSHUI_1,NAN_2,CHN,70.0,POINT (113.2203617396328 21.90147576895989),NANSHUI_3_1
167.87023152169567,-21.54949376813044,TADINE,TAD,NCL,1.0,POINT (167.8702315216957 -21.54949376813044),
167.4241559677097,-22.659307956990325,VAO,VAO,NCL,1.0,POINT (167.4241559677097 -22.65930795699033),
148.74205373990245,-20.221773943087804,PROSERPINE,PRO,AUS,2.0,POINT (148.7420537399024 -20.2217739430878),
119.0610563677902,32.209378070519485,LONGTAN,LON_1,CHN,214.0,POINT (119.0610563677902 32.20937807051948),
113.89546066363609,22.08629661913698,TAI O,TAI,CHN,966.0,POINT (113.8954606636361 22.08629661913698),
105.8149957238514,19.342536522087983,THI TRAN TINH GIA,THI,VNM,58.0,POINT (105.8149957238514 19.34253652208798),
