,LONGITUDE,LATITUDE,Cluster
6,-3.01171875,53.4375,2
18,-2.08203125,57.15625,7
19,-2.08203125,57.15625,7
20,-2.08203125,57.15625,7
22,-2.08203125,57.15625,7
24,-3.01171875,53.4375,2
26,-3.013671875,53.46875,9
31,-1.4287109375,50.90625,11
32,-1.431640625,50.90625,11
33,-1.3974609375,50.875,12
34,-1.4326171875,50.90625,11
35,-1.431640625,50.90625,11
36,-1.431640625,50.90625,11
37,-1.431640625,50.90625,11
38,-1.431640625,50.90625,11
39,-1.3974609375,50.875,12
40,-1.3974609375,50.875,12
41,-1.4287109375,50.90625,11
43,-1.3974609375,50.875,12
44,-1.4287109375,50.90625,11
45,-1.3974609375,50.875,12
46,-1.3974609375,50.875,12
47,-1.3974609375,50.875,12
49,-1.4326171875,50.90625,11
50,-1.431640625,50.90625,11
51,-1.3974609375,50.875,12
55,-3.025390625,53.46875,9
57,-3.00390625,53.4375,2
60,0.49755859375,51.5,15
61,0.1468505859375,49.46875,16
62,-1.43359375,50.90625,11
65,-1.0947265625,50.8125,18
66,-0.1893310546875,53.625,19
68,-1.4560546875,50.90625,11
70,0.1566162109375,49.46875,16
72,-1.455078125,50.90625,11
73,0.15673828125,49.46875,16
76,-1.458984375,50.90625,11
78,0.1524658203125,49.46875,16
79,0.1566162109375,49.46875,16
81,-3.0234375,53.46875,9
82,-3.0234375,53.46875,9
84,-3.021484375,53.46875,9
87,-3.025390625,53.46875,9
89,-3.01953125,53.46875,9
92,-3.029296875,53.46875,9
94,-1.1533203125,54.59375,24
95,-3.02734375,53.46875,9
97,-3.01953125,53.46875,9
100,-3.0234375,53.46875,9
101,-3.02734375,53.46875,9
103,-3.01953125,53.46875,9
106,-3.025390625,53.46875,9
108,-3.021484375,53.46875,9
110,-3.021484375,53.46875,9
112,-3.025390625,53.46875,9
119,-3.025390625,53.46875,9
120,-3.0234375,53.46875,9
124,-3.021484375,53.46875,9
151,0.1624755859375,49.46875,16
153,-1.4609375,50.90625,11
155,0.1732177734375,49.46875,16
157,0.1634521484375,49.46875,16
158,0.162109375,49.46875,16
159,-1.4560546875,50.90625,11
