,Unnamed: 0,longitude,latitude,imo,cluster_label
1,2,-3.0078125,53.4375,9835795,0
5,147,-0.168212890625,53.625,9340582,1
7,151,1.3154296875,51.9375,9789647,2
8,166,1.3154296875,51.9375,9789647,2
9,183,1.3154296875,51.9375,9789647,2
10,191,1.3134765625,51.9375,9789647,2
18,210,1.3154296875,51.9375,9789647,2
19,224,0.1337890625,49.46875,9320441,3
21,237,0.1390380859375,49.46875,9320441,3
23,248,0.134521484375,49.46875,9320441,3
24,263,0.5009765625,51.5,9320441,5
25,268,0.1396484375,49.46875,9320441,3
27,279,0.497314453125,51.5,9320441,5
29,283,0.13427734375,49.46875,9320441,3
30,306,0.4912109375,51.5,9320441,5
31,311,0.134521484375,49.46875,9320441,3
32,323,0.50390625,51.5,9320441,5
33,337,0.1439208984375,49.46875,9320441,3
36,375,0.18359375,49.46875,9795048,3
58,820,-2.720703125,51.5,9465978,11
60,925,0.1536865234375,49.46875,9567702,3
61,1028,-2.0859375,57.15625,9510307,12
62,1172,-1.46044921875,50.90625,9355331,13
64,1279,0.5009765625,51.5,9307243,5
66,1287,0.1478271484375,49.46875,9307243,3
68,1361,0.49853515625,51.5,9307243,5
69,1365,0.1510009765625,49.46875,9307243,3
71,1420,0.348388671875,51.46875,9371828,17
73,1422,-1.15625,54.59375,9371828,19
74,1427,-0.0831298828125,49.46875,9371828,20
79,1432,0.329833984375,51.46875,9371828,17
84,1444,1.8623046875,51.0625,9371828,28
95,1563,0.16357421875,49.46875,9522128,3
119,1934,-0.16796875,53.625,9729271,1
121,1983,0.181640625,49.46875,9729271,3
125,2018,-1.3349609375,50.84375,9580182,46
128,2216,-1.0947265625,50.8125,7225910,49
134,2222,-2.9585937500000004,59.0,7225910,54
136,2224,-1.447265625,55.0,7225910,55
138,2226,-1.0947265625,50.8125,7225910,49
148,2236,-1.455078125,55.0,7225910,55
159,2658,-1.4365234375,50.90625,9718454,13
163,2673,-0.1395263671875,49.46875,9718454,20
166,2678,-1.4365234375,50.90625,9718454,13
168,2680,-1.1533203125,54.59375,9718454,19
171,2850,0.135009765625,49.46875,9480174,3
172,2851,0.50390625,51.5,9480174,5
174,2864,0.134765625,49.46875,9480174,3
176,2882,0.1396484375,49.46875,9480174,3
179,2893,0.1409912109375,49.46875,9480174,3
180,2905,0.1357421875,49.46875,9480174,3
181,2914,0.50146484375,51.5,9480174,5
182,2918,0.1385498046875,49.46875,9480174,3
184,2927,0.49560546875,51.5,9480174,5
185,2931,0.1343994140625,49.46875,9480174,3
186,2947,0.490966796875,51.5,9480174,5
187,2948,0.1343994140625,49.46875,9480174,3
189,2962,0.50146484375,51.5,9480174,5
190,2963,0.139892578125,49.46875,9480174,3
191,2970,0.491455078125,51.5,9480174,5
193,2972,0.1383056640625,49.46875,9480174,3
195,3057,-0.163330078125,53.625,9381512,1
200,3103,0.183837890625,49.46875,9381512,3
201,3114,0.491943359375,51.5,9514755,5
203,3129,0.490234375,51.5,9514755,5
205,3143,0.496826171875,51.5,9514755,5
206,3155,0.5009765625,51.5,9514755,5
208,3169,0.49462890625,51.5,9514755,5
210,3176,-1.4541015625,50.90625,9514755,13
211,3191,-1.453125,50.90625,9514755,13
213,3199,-1.46484375,50.90625,9514755,13
214,3213,-1.4541015625,50.90625,9514755,13
216,3220,-1.4560546875,50.90625,9514755,13
217,3225,-1.453125,50.90625,9514755,13
218,3226,1.8291015625,51.0625,9514755,28
220,3235,-1.453125,50.90625,9514755,13
222,3250,-1.453125,50.90625,9514755,13
223,3256,-1.453125,50.90625,9514755,13
225,3266,-1.453125,50.90625,9514755,13
226,3267,-3.01953125,53.46875,9514755,67
227,3268,-5.8828125,54.625,9514755,68
230,3282,-3.029296875,53.46875,9514755,67
232,3288,-5.8828125,54.625,9514755,68
234,3304,-3.01953125,53.46875,9514755,67
237,3311,-3.0234375,53.46875,9514755,67
238,3314,-3.01953125,53.46875,9514755,67
240,3321,-3.01953125,53.46875,9514755,67
241,3322,-5.8828125,54.625,9514755,68
246,3327,-3.0234375,53.46875,9514755,67
247,3328,-5.8828125,54.625,9514755,68
256,3414,0.433349609375,53.59375,9381421,76
258,3416,0.42333984375,53.59375,9381421,76
259,3470,-3.01171875,53.4375,9356543,0
262,3479,-3.029296875,53.46875,9356543,67
266,3493,0.3427734375,51.46875,9356543,17
273,3532,-3.02734375,53.46875,9356543,67
276,3539,-1.9873046875,50.71875,9356543,85
279,3558,-3.0234375,53.46875,9356543,67
284,3749,0.1568603515625,49.46875,8913423,3
289,3974,-0.119873046875,49.46875,9350745,20
290,3975,0.5458984375,49.46875,9350745,89
295,3990,0.53662109375,49.46875,9350745,89
298,4012,-1.1689453125,54.59375,9350745,19
301,4016,-1.3330708165322598,50.84375,9350745,46
305,4029,-0.158447265625,53.625,9350745,1
306,4031,-1.157470703125,54.625,9350745,94
307,4032,-1.1640625,54.625,9350745,94
309,4036,-1.163722826086956,54.625,9350745,94
311,4040,-1.1640625,54.625,9350745,94
323,4061,-1.158203125,54.625,9350745,94
324,4062,0.4326171875,53.59375,9350745,76
325,4063,-0.1583251953125,53.625,9350745,1
326,4065,0.420166015625,53.59375,9350745,76
331,4074,-0.1634521484375,53.625,9350745,1
337,4094,-1.169921875,54.59375,9350745,19
339,4098,-1.169921875,54.59375,9350745,19
343,4106,-1.158203125,54.625,9350745,94
345,4108,1.3134765625,51.9375,9461374,2
362,4211,0.381103515625,53.59375,9625229,76
383,4339,0.1771240234375,49.46875,9116187,3
384,4348,0.40771484375,53.59375,9116187,76
385,4349,-0.195556640625,53.625,9116187,110
390,4540,-1.162109375,54.625,9711470,94
392,4543,-1.1630859375,54.625,9711470,94
394,4550,-1.1630859375,54.625,9711470,94
398,4555,-1.162109375,54.625,9711470,94
399,4558,-1.1630859375,54.625,9711470,94
400,4562,0.4033203125,53.59375,9711470,76
403,4565,-1.162109375,54.625,9711470,94
405,4569,-1.162109375,54.625,9711470,94
